Vivado Simulator 2019.1
Time resolution is 1 ps
                   0 D=0, En=0, Q=x, Qbar=x

                   5 D=1, En=0, Q=x, Qbar=x

                  10 D=0, En=0, Q=x, Qbar=x

                  12 D=0, En=1, Q=x, Qbar=x

                  15 D=1, En=1, Q=x, Qbar=x

                  20 D=0, En=1, Q=x, Qbar=x

                  25 D=1, En=1, Q=x, Qbar=x

                  27 D=1, En=0, Q=x, Qbar=x

                  30 D=0, En=0, Q=x, Qbar=x

